transaction_id,sender_account_id,transaction_amount,transaction_date,geographical_location,known_customer_locations,receiver_account_id,username,first_name,last_name,full_name,transaction_type,currency,label
800388YBN,80279F810,448809.06,14/11/23,UK,USA,8000A94C0,ghurtic0,Sayre,Rohlfing,Sayre Rohlfing,ACH,Australian dollar,Money laundering
974129BQ5,80279F8B0,109298.1,15/11/23,UK,USA,8000A94C0,rremon1,Mano,Mapledorum,Mano Mapledorum,ACH,Australian dollar,Money laundering
308327ID1,800E36A50,796159.07,16/11/23,UK,UK,8000A94C0,blanceley2,Roana,Gowry,Roana Gowry,ACH,Australian Dollar,Money laundering
75024OOGB,801BF8E70,322973.31,14/11/23,Germany,Germany,8016B3750,amckyrrelly3,Archie,Biagioni,Archie Biagioni,ACH,Euro,Money laundering
77357R31R,80074C7E0,170927.17,14/11/23,Australia,Canada,8016B3750,ggrzelczak4,Layton,Vicar,Layton Vicar,ACH,Euro,Money laundering
17736YUWP,80107C9A0,727100.09,14/11/23,USA,Canada,8016B3750,kscoone5,Lydie,Lis,Lydie Lis,ACH,Euro,Money laundering
38107O9Q4,800A9B180,689103.08,15/11/23,Germany,UK,8016B3750,serrichelli6,Tristam,Tregust,Tristam Tregust,ACH,Euro,Money laundering
57662UA6Q,801271170,320883.53,16/11/23,USA,Canada,8016B3750,dnellies7,Arline,Vasyushkhin,Arline Vasyushkhin,ACH,Euro,Money laundering
05064A5LL,801E25F20,580701.18,16/11/23,USA,USA,8016B3750,jjarmaine8,Berrie,Boutcher,Berrie Boutcher,ACH,Euro,Money laundering
11889EPIG,800043BE0,340174.91,16/11/23,Germany,USA,8016B3750,amatteuzzi9,Noni,Athey,Noni Athey,ACH,Euro,Money laundering
93055FG2J,8011D0180,186485.41,16/11/23,Australia,UK,8016B3750,rrotchella,Evangelin,Makiver,Evangelin Makiver,ACH,Euro,Money laundering
577854QJS,801A0BEB0,936513.16,14/11/23,USA,Australia,800F963A0,mbreawoodb,Yvette,Disdel,Yvette Disdel,ACH,Euro,Money laundering
51612AUGJ,8013B3270,142315.98,14/11/23,Australia,USA,800F963A0,ehuzzayc,Martie,Celier,Martie Celier,ACH,Euro,Money laundering
91749D6UB,80049FE00,673827.51,15/11/23,Australia,USA,800F963A0,ilambshined,Aridatha,Hubbucks,Aridatha Hubbucks,ACH,Euro,Money laundering
280005IAP,800F963A0,116314.84,16/11/23,UK,UK,800F07C90,cgibberde,Alix,Rubbert,Alix Rubbert,ACH,Euro,Money laundering
44432LU1K,800F963A0,648817.01,16/11/23,UK,Canada,8014DDE40,acorkerf,Alix,Rubbert,Alix Rubbert,ACH,Euro,Money laundering
90521T068,800F963A0,840439.99,17/11/23,Canada,Canada,801C56FF0,thammerichg,Alix,Rubbert,Alix Rubbert,ACH,US Dollar,Money laundering
279988NT6,800F963A0,298258.85,17/11/23,Germany,Germany,800775EE0,cfessierh,Alix,Rubbert,Alix Rubbert,ACH,Euro,Money laundering
910520F3Y,800F963A0,656078.71,18/11/23,UK,Canada,80143C140,sgilroyi,Alix,Rubbert,Alix Rubbert,ACH,Euro,Money laundering
68808CZ3H,800F963A0,458447.19,18/11/23,Germany,UK,800CD0BE0,pbissillj,Alix,Rubbert,Alix Rubbert,ACH,US Dollar,Money laundering
14369D8BU,55996BL5D,893723.64,14/12/23,Australia,USA,11756ITZJ,lsammutk,Ignatius,Tallis,Ignatius Tallis,ACH,Euro,valid
81705XS8C,55896BL5D,370754.95,07/12/23,USA,USA,05853WBSE,dpickwelll,Ripley,Daley,Ripley Daley,ACH,US dollar,valid
59352GUNJ,55796BL5D,391137.68,21/11/23,UK,UK,11940325Z,lbeckwithm,Leeanne,Cockshot,Leeanne Cockshot,ACH,US dollar,valid
857164A56,185SMK16R,300410.42,05/12/23,Canada,Canada,22033OYD7,tcockramn,Hazel,Thoresbie,Hazel Thoresbie,ACH,US dollar,valid
81190SV55,837M119HW,711447.04,03/12/23,USA,USA,33398FI0J,kdecruzeo,Darlene,Stanlack,Darlene Stanlack,ACH,Australian dollar,valid
93387DGQR,7238N0R0B,124848.83,14/12/23,USA,Canada,501405S8X,griddellp,Vera,Vittet,Vera Vittet,ACH,US dollar,valid
04225U99I,327D6NETF,322445.09,25/11/23,USA,Canada,16585CJD9,ljeffryesq,Gare,Beveridge,Gare Beveridge,ACH,Euro,valid
02093TT2X,2393GWVG2,471989.46,03/12/23,Germany,USA,71941766X,mbozworthr,Daveen,Kittle,Daveen Kittle,ACH,Euro,valid
386810VMR,335WLYITY,570869.38,13/12/23,Australia,UK,9854806G4,cyesipovs,Etienne,Riche,Etienne Riche,ACH,Australian dollar,valid
03133PPLH,108UYSJNC,935329.5,06/12/23,Germany,UK,2615581UL,rpollicottt,Celine,Mattiello,Celine Mattiello,ACH,US dollar,valid
15695PH1X,384PN4RHJ,487072.39,17/11/23,Germany,Canada,19878ZOJQ,tadamovitzu,Kamilah,Dran,Kamilah Dran,ACH,Australian dollar,valid
05693A3EN,790RRSB9M,666294.74,13/11/23,USA,Australia,48243O77Y,asimonev,Lauren,Schirach,Lauren Schirach,ACH,US dollar,valid
20838OIY5,4408N23JI,660034.58,05/12/23,USA,USA,86889XB5L,rspadazziw,Fons,Lowndsborough,Fons Lowndsborough,ACH,US dollar,valid
304044LNV,998PG5YJY,760602.76,16/11/23,Australia,USA,04912PDZG,ifieldstonex,Ealasaid,Joselin,Ealasaid Joselin,ACH,Australian dollar,valid
715551N30,369UPHDG0,663677.9,22/11/23,USA,Australia,17016JVJO,wklimowiczy,Jermaine,Bromhead,Jermaine Bromhead,ACH,Australian dollar,valid
85327VGOR,821BPO0IM,35837.33,16/11/23,Australia,UK,71876BSO8,lcastellucciz,Krissy,Acres,Krissy Acres,ACH,Australian dollar,valid
77798U2I7,0248AN81J,904815.92,03/12/23,Australia,UK,58937HLUC,crichings10,Kalina,Bartalini,Kalina Bartalini,ACH,Australian dollar,valid
05596LBX9,9686IG8XB,366897.28,25/11/23,Canada,Australia,59619FXW2,gvivash11,Buckie,Benit,Buckie Benit,ACH,US dollar,valid
34583VXI2,765T5ZSIV,111508.97,24/11/23,Germany,Germany,316976FLY,gkolak12,Gerome,Wrightham,Gerome Wrightham,ACH,Australian dollar,valid
35290KCI5,757TFOP1F,706405.93,16/11/23,Germany,Canada,11947XHFF,begleofgermany13,Carin,Jinkinson,Carin Jinkinson,ACH,Australian dollar,valid
